id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
1,1,59341E+18,https://twitter.com/nuey5/statuses/1593409430779236352,https://twitter.com/nuey5/statuses/1593409430779236352,nuey5,@RamlanArshad @khairyizwan @NepaRakat @NaratifRakyat Tbh ekonomi dunia mmg lg turun smua. Inflasi dan resesi dmana2. Akibat pandemi, perang yg ngakibatkan persediaan pangan turun,dll. Dlm keadaan seperti ini yg dibutuhkan mmg kesiapan masing2 negara itu sndiri menghadapinya baik dr pemimpin negara sampai ke rakyatnya.,@RamlanArshad @khairyizwan @NepaRakat @NaratifRakyat Tbh ekonomi dunia mmg lg turun smua. Inflasi dan resesi dmana2. Akibat pandemi, perang yg ngakibatkan persediaan pangan turun,dll. Dlm keadaan seperti ini yg dibutuhkan mmg kesiapan masing2 negara itu sndiri menghadapinya baik dr pemimpin negara sampai ke rakyatnya.,17/11/22 20.03,Twitter for Android,0,0,in,,reply,RamlanArshad,1,41945E+18,1,5934E+18,,0,0,343392954,https://pbs.twimg.com/profile_images/1498236081162301440/Y0vTCZ_-_normal.jpg,1086,52,8,27/07/11 10.17,Lagi ingin jd kuters lagi,,
2,1,59341E+18,https://twitter.com/iamyesssssh/statuses/1593409405659230209,https://twitter.com/iamyesssssh/statuses/1593409405659230209,iamyesssssh,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 20.03,Twitter for Android,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,16601E+18,https://pbs.twimg.com/profile_images/1414970750096658442/cPaLTJPu_normal.jpg,4321,550,351,26/08/19 11.10,,,
13,1,59341E+18,https://twitter.com/IdSinpo/statuses/1593405697009405952,https://twitter.com/IdSinpo/statuses/1593405697009405952,IdSinpo,Ancaman Resesi Global, Anggota Komisi IX DPR: Sektor Tekstil dan Manufaktur Mulai Kurangi Tenaga Kerja https://t.co/cJZKZxtIY0,Ancaman Resesi Global, Anggota Komisi IX DPR: Sektor Tekstil dan Manufaktur Mulai Kurangi Tenaga Kerja https://t.co/cJZKZxtIY0,17/11/22 19.48,Twitter for Android,0,0,in,,original,,0,0,,0,0,1,01217E+18,https://pbs.twimg.com/profile_images/1390286961500299268/6Alf-TNh_normal.jpg,18600,57,577,27/06/18 23.23,https://t.co/EOK59cewsT merupakan situs berita politik yang terupdate.,,
14,1,59341E+18,https://twitter.com/_____22o1/statuses/1593405251851194368,https://twitter.com/_____22o1/statuses/1593405251851194368,_____22o1,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.46,Twitter for iPhone,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,5183E+18,https://pbs.twimg.com/profile_images/1581242149592784897/cv8Hro0J_normal.jpg,1680,80,47,24/04/22 14.29,saya aslinya delapan,Kota Bandung, Jawa Barat,
15,1,59341E+18,https://twitter.com/zkhsa_/statuses/1593405069747113985,https://twitter.com/zkhsa_/statuses/1593405069747113985,zkhsa_,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.45,Twitter for Android,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,08105E+18,https://pbs.twimg.com/profile_images/1585445728976920577/mbm0000l_normal.jpg,2355,989,1043,03/01/19 23.59,0% energy for everything.,Jawa Tengah, Indonesia,
16,1,5934E+18,https://twitter.com/jojoanitams/statuses/1593404927732502528,https://twitter.com/jojoanitams/statuses/1593404927732502528,jojoanitams,RT @bank_indonesia: #SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga ke…,"#SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga kebijakan moneter, &amp, ketidakpastian pasar keuangan. Pertumbuhan pd 2023 diprakirakan menurun dari 2022, dgn risiko koreksi lebih rendah &amp, resesi di beberapa negara",17/11/22 19.45,Twitter for iPhone,0,21,in,,retweet,,0,0,bank_indonesia,153667051,1,59314E+18,1,13913E+18,https://pbs.twimg.com/profile_images/1420588601553809410/K38rS3nc_normal.jpg,1224,4,1,13/06/19 07.27,,,
17,1,5934E+18,https://twitter.com/WildaMaulida/statuses/1593404636676837376,https://twitter.com/WildaMaulida/statuses/1593404636676837376,WildaMaulida,"lagi cari alat pertahanan diri alias self defense keychains set, mau dong kalau ada yg pernah beli, rekomendasinya____
jujur tkt bgt shubuh2 dah liat maling__ ni belom aja resesi kejahatan udh banyak bgt dimana mana __","lagi cari alat pertahanan diri alias self defense keychains set, mau dong kalau ada yg pernah beli, rekomendasinya____
jujur tkt bgt shubuh2 dah liat maling__ ni belom aja resesi kejahatan udh banyak bgt dimana mana __",17/11/22 19.44,Twitter for iPhone,0,0,in,,original,,0,0,,0,0,527300469,https://pbs.twimg.com/profile_images/1593252215115853826/erzC49eL_normal.jpg,13429,275,560,17/03/12 06.02,,,
18,1,5934E+18,https://twitter.com/rsenyif/statuses/1593404579252604930,https://twitter.com/rsenyif/statuses/1593404579252604930,rsenyif,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.43,Twitter for iPhone,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,23518E+18,https://pbs.twimg.com/profile_images/1558578132722282496/6Po5ubO5_normal.jpg,3847,206,46,04/03/20 07.38,skies of blue,England, United Kingdom,
19,1,5934E+18,https://twitter.com/iqbalnurcholis9/statuses/1593404539104743425,https://twitter.com/iqbalnurcholis9/statuses/1593404539104743425,iqbalnurcholis9,RT @Mentimoen: Milyaran dollar lenyap begitu saja ketika FTX - perusahaan crypto - bangkrut. Warga yg tabungan hari tua dalam FTX nangis da…,"Milyaran dollar lenyap begitu saja ketika FTX - perusahaan crypto - bangkrut. Warga yg tabungan hari tua dalam FTX nangis dah.

Semua itu pertanda buruk bagi datangnya resesi Amerika 2023. Ekonomi Amerika dibangun terlalu banyak diatas asset2 tidak jelas.
https://t.co/LDUCSnY2s6",17/11/22 19.43,Twitter for Android,0,19,in,,retweet,,0,0,Mentimoen,7,36385E+17,1,59325E+18,3060996218,https://pbs.twimg.com/profile_images/1461883064380903436/hx2cppIS_normal.jpg,12951,75,132,04/03/15 02.38,1312 _,Badung, Bali,
20,1,5934E+18,https://twitter.com/Puspitasari5512/statuses/1593404480069869569,https://twitter.com/Puspitasari5512/statuses/1593404480069869569,Puspitasari5512,RT @bank_indonesia: #SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga ke…,"#SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga kebijakan moneter, &amp, ketidakpastian pasar keuangan. Pertumbuhan pd 2023 diprakirakan menurun dari 2022, dgn risiko koreksi lebih rendah &amp, resesi di beberapa negara",17/11/22 19.43,Twitter for iPhone,0,21,in,,retweet,,0,0,bank_indonesia,153667051,1,59314E+18,1,57783E+18,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,742,6,0,05/10/22 21.14,,,
21,1,5934E+18,https://twitter.com/Simon01052022/statuses/1593404055078207489,https://twitter.com/Simon01052022/statuses/1593404055078207489,Simon01052022,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.41,Twitter for Android,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,52069E+18,https://pbs.twimg.com/profile_images/1525933198060175360/paudtOGp_normal.jpg,25658,518,363,01/05/22 04.49,,,
22,1,5934E+18,https://twitter.com/marknaekoya_/statuses/1593403703372836864,https://twitter.com/marknaekoya_/statuses/1593403703372836864,marknaekoya_,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.40,Twitter for iPhone,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,49791E+18,https://pbs.twimg.com/profile_images/1567181112304365570/Yh_nq4KP_normal.jpg,5724,118,7,27/02/22 07.09,Mark’s soulmate,,
23,1,5934E+18,https://twitter.com/yo2thok/statuses/1593403473424711680,https://twitter.com/yo2thok/statuses/1593403473424711680,yo2thok,@Ikhwan_56 Rusia adalah Negara kaya akan sumber daya alam dan makanan yang dibutuhkan dunia. Jika Rusia mengalami resesi bagaimana dengan nasib Eropa Barat dan Afrika?,@Ikhwan_56 Rusia adalah Negara kaya akan sumber daya alam dan makanan yang dibutuhkan dunia. Jika Rusia mengalami resesi bagaimana dengan nasib Eropa Barat dan Afrika?,17/11/22 19.39,Twitter for Android,0,0,in,,reply,Ikhwan_56,1,53077E+18,1,5933E+18,,0,0,497234852,https://pbs.twimg.com/profile_images/1546935989532180480/g75bo473_normal.jpg,18112,209,21512,19/02/12 14.25,"Vladimir Putin: ""Barat adalah Kerajaan Kebohongan.”",Moscow,
24,1,5934E+18,https://twitter.com/icafadilah8892/statuses/1593403148655206400,https://twitter.com/icafadilah8892/statuses/1593403148655206400,icafadilah8892,RT @bank_indonesia: #SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga ke…,"#SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga kebijakan moneter, &amp, ketidakpastian pasar keuangan. Pertumbuhan pd 2023 diprakirakan menurun dari 2022, dgn risiko koreksi lebih rendah &amp, resesi di beberapa negara",17/11/22 19.38,Twitter for Android,0,21,in,,retweet,,0,0,bank_indonesia,153667051,1,59314E+18,1,47128E+18,https://pbs.twimg.com/profile_images/1584348015019839489/Y8HNgZNi_normal.jpg,763,21,7,15/12/21 20.04,,Jakarta Capital Region,
25,1,5934E+18,https://twitter.com/Puryoct/statuses/1593403035170275328,https://twitter.com/Puryoct/statuses/1593403035170275328,Puryoct,RT @bank_indonesia: #SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga ke…,"#SobatRupiah, pertumbuhan ekonomi global melambat disertai tingginya tekanan inflasi, agresifnya kenaikan suku bunga kebijakan moneter, &amp, ketidakpastian pasar keuangan. Pertumbuhan pd 2023 diprakirakan menurun dari 2022, dgn risiko koreksi lebih rendah &amp, resesi di beberapa negara",17/11/22 19.37,Twitter for iPhone,0,21,in,,retweet,,0,0,bank_indonesia,153667051,1,59314E+18,1,26632E+18,https://pbs.twimg.com/profile_images/1266321115586023424/ylLK6BfB_normal.jpg,1137,14,7,29/05/20 06.50,Hi, it’s me _,,
26,1,5934E+18,https://twitter.com/AEPishere/statuses/1593402925904449538,https://twitter.com/AEPishere/statuses/1593402925904449538,AEPishere,"RT @cnbcindonesia: Resesi, ""Jalan Ninja"" Bank Sentral Dunia Selamatkan Negara!

https://t.co/OnVUXhPb8y","Resesi, ""Jalan Ninja"" Bank Sentral Dunia Selamatkan Negara!

https://t.co/OnVUXhPb8y",17/11/22 19.37,Twitter for Android,0,1,in,,retweet,,0,0,cnbcindonesia,8,47373E+17,1,5934E+18,242704195,https://pbs.twimg.com/profile_images/1386411662312284162/2j8WTl7L_normal.jpg,1121914,4998,3209,25/01/11 06.55,Pecinta Sepakbola Indonesia|SONIQ 1620 2100 1795 0000|_ travelling|Alumni FKUI&MARS URINDO|Pendengar Setia @987GenFM|COmate = Alovers + Kivers + SONIQ + Bstarz,Jakarta,
27,1,5934E+18,https://twitter.com/lidahkadal94/statuses/1593402910464831488,https://twitter.com/lidahkadal94/statuses/1593402910464831488,lidahkadal94,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.37,Twitter for Android,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,393899704,https://pbs.twimg.com/profile_images/770570292422778880/EZxLtS7w_normal.jpg,966,485,35,19/10/11 04.02,keluarga kelas menengah bawah, pekerja keras, mencintai hidup untuk bertahan hidup..,Jakarta,
28,1,5934E+18,https://twitter.com/BeritaSahamIdx/statuses/1593402839573069826,https://twitter.com/BeritaSahamIdx/statuses/1593402839573069826,BeritaSahamIdx,Ini Sektor yang Untung dan Rugi Apabila Terjadi Resesi di 2023 - Page 2 https://t.co/M3ECPTn0iJ,Ini Sektor yang Untung dan Rugi Apabila Terjadi Resesi di 2023 - Page 2 https://t.co/M3ECPTn0iJ,17/11/22 19.36,Twitter for iPhone,0,0,in,,original,,0,0,,0,0,1,18179E+18,https://pbs.twimg.com/profile_images/1318453822948192258/RtKdW5XD_normal.jpg,1775,79,173,09/10/19 00.26,Tweet tentang berita-berita seputar emiten, saham, pasar modal IHSG/IDX/BEI dan yang terkait.,Jakarta,
29,1,5934E+18,https://twitter.com/Sidikpmana/statuses/1593402775467016192,https://twitter.com/Sidikpmana/statuses/1593402775467016192,Sidikpmana,RT @catchmeupid: Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Ru…,Sembilan bulan Rusia menyerang Ukraina, kini Rusia dilaporkan telah masuk ke jurang resesi. Produk Domestik Bruto (PDB) Rusia dilaporkan kontraksi alias minus 4% di kuartal III tahun 2022. https://t.co/kb0xk83Q86,17/11/22 19.36,Twitter for iPhone,0,1383,in,,retweet,,0,0,catchmeupid,1,16255E+18,1,5931E+18,1,07759E+18,https://pbs.twimg.com/profile_images/1262645656537030656/ftjrV4W2_normal.jpg,336,159,7,25/12/18 10.23,,,
30,1,5934E+18,https://twitter.com/MusaRudy_Stpl/statuses/1593402477533011968,https://twitter.com/MusaRudy_Stpl/statuses/1593402477533011968,MusaRudy_Stpl,"RT @DM_N4BYL: Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa…","Jika Bukan kita siapa lagi yang akan mencintai Bangsa ini ____

Masmen BUMN @erickthohir ditanya Majalah The Economist
Hal apa yg membuat yakin bahwa Indonesia tdk akan mengalami Resesi ?

Karena :
Indonesia punya Sumber Daya Alam yang banyak &amp, Market yang besar

#BangkitBersamaET https://t.co/MJzBWENO00",17/11/22 19.35,Twitter for Android,0,4,in,,retweet,,0,0,DM_N4BYL,1,37955E+18,1,59338E+18,1,26602E+18,https://pbs.twimg.com/profile_images/1582554194112024577/c2027bnQ_normal.jpg,90188,8896,9975,28/05/20 11.08,Berusaha utk ber Manfaat bagi org Banyak,Medan, Sumatera Utara,
